Number of nodes 316 
   221 : -6.4345891e-01  2.1440686e-01 
   222 :  5.2863146e-01  5.6118758e-02 
   223 : -9.5999165e-01  4.5261764e-02 
   224 : -9.4378576e-01 -5.8548463e-02 
   225 : -4.9010235e-01 -1.3884543e-01 
   226 :  7.8486526e-01  7.0567824e-02 
   227 : -8.8846982e-01 -1.5846103e-01 
   228 : -4.2015828e-01  2.1021982e-02 
   229 : -1.0808733e+00 -1.6830446e-01 
   230 : -4.4780629e-01  2.7370862e-01 
   231 : -4.2503322e-01  3.6856677e-01 
   232 : -5.1845740e-01  3.2949062e-01 
   233 :  1.1834687e+00 -4.5829355e-03 
   234 :  9.0712326e-01  3.0305101e-01 
   235 :  7.1050382e-01  3.3837857e-01 
   236 : -3.6057298e-01  4.5766506e-01 
   237 : -6.4883581e-01  4.6282376e-01 
   238 : -6.0405217e-01 -3.9625046e-02 
   239 :  1.6625616e+00  8.8477140e-02 
   240 :  1.1038011e+00  2.4856084e-01 
   241 : -4.5435552e-01  4.6057179e-01 
   242 : -3.4714664e-01 -4.2941666e-02 
   243 :  2.4503542e-01  4.6410125e-03 
   244 : -1.0363396e+00 -8.4341152e-02 
   245 : -1.4669759e+00 -1.6563835e-01 
   246 : -8.4495610e-01 -7.7004980e-02 
   247 : -1.2239943e+00  4.0573314e-01 
   248 : -8.4086751e-01  4.5326613e-01 
   249 :  5.2409263e-01  3.7371274e-01 
   250 : -1.0500893e+00  7.7902175e-02 
   251 :  4.5373011e-01  1.1443670e-01 
   252 : -5.9918942e-01  3.8128992e-01 
   253 : -1.6883589e+00  2.6133900e-01 
   254 : -1.0375633e+00  4.3438702e-01 
   255 : -1.9810036e+00 -1.6877421e-02 
   256 : -1.8854464e+00  5.4850396e-03 
   257 :  4.4322714e-01  1.6560903e-02 
   258 :  1.1201984e-01 -9.4441060e-02 
   259 : -3.1505382e-01  3.7743876e-01 
   260 :  6.8894932e-01 -5.3616427e-02 
   261 :  8.9373146e-01 -3.1245866e-02 
   262 : -6.9372542e-01 -1.5867740e-01 
   263 :  1.0106424e+00  1.8959639e-01 
   264 : -7.3576476e-01  1.4868588e-01 
   265 :  2.0430480e-03 -1.0960462e-01 
   266 : -8.7174425e-02 -1.1542596e-01 
   267 : -1.2728055e+00 -1.8166424e-01 
   268 : -1.3685203e+00 -1.7681304e-01 
   269 :  1.1407029e-01  4.2842994e-01 
   270 :  4.4270311e-01  3.9988567e-01 
   271 : -1.6454023e+00 -1.5027639e-01 
   272 : -4.5093460e-01 -6.3076605e-02 
   273 : -1.1226523e+00  4.1986139e-01 
   274 :  1.5091277e+00  1.6400323e-02 
   275 : -1.3274928e+00  3.7799610e-01 
   276 :  1.2647734e+00  2.2835512e-01 
   277 :  6.4660420e-01  2.7742790e-01 
   278 :  1.0955009e+00 -3.2715173e-02 
   279 :  1.8469995e+00  3.2300845e-02 
   280 :  1.4921651e+00  1.7296962e-01 
   281 : -1.9084531e+00  1.1214158e-01 
   282 :  1.3936330e+00  2.2809557e-01 
   283 :  8.4983230e-01  2.3522076e-01 
   284 :  2.8597783e-01  4.1089620e-01 
   285 :  1.6812332e+00  6.6500935e-03 
   286 :  1.5910055e-02  4.4819557e-01 
   287 : -7.0692121e-01  3.9012543e-01 
   288 :  3.4227649e-01 -1.8382334e-03 
   289 : -1.5000903e+00  3.4156275e-01 
   290 : -1.7923609e+00 -4.0609012e-02 
   291 : -5.9883674e-01  3.0121945e-01 
   292 :  9.3613157e-01  2.3195188e-01 
   293 : -1.9247751e+00 -7.6783795e-02 
   294 :  1.2659507e+00 -2.1108011e-02 
   295 :  8.5412171e-01  9.1355194e-02 
   296 : -5.4243890e-01 -8.1884454e-02 
